date,channel,campaign,impressions,clicks,spend,conversions,revenue
2025-06-06,facebook_ads,Prospecting_Q3,6456,436,688.15,7,621.79
2025-06-06,facebook_ads,Retargeting_All,3515,347,460.5,13,708.4
2025-06-06,facebook_ads,Creative_Test_1,3546,322,499.21,8,388.4
2025-06-07,facebook_ads,Prospecting_Q3,2610,231,560.37,4,417.92
2025-06-07,facebook_ads,Retargeting_All,4131,335,591.71,24,2115.09
2025-06-07,facebook_ads,Creative_Test_1,5073,409,391.07,6,533.27
2025-06-08,facebook_ads,Prospecting_Q3,6724,497,1143.12,9,530.55
2025-06-08,facebook_ads,Retargeting_All,3922,383,821.62,18,1681.27
2025-06-08,facebook_ads,Creative_Test_1,5359,344,482.82,7,374.09
2025-06-09,facebook_ads,Prospecting_Q3,5950,525,490.08,6,251.35
2025-06-09,facebook_ads,Retargeting_All,6836,768,1223.73,40,3502.32
2025-06-09,facebook_ads,Creative_Test_1,5471,437,337.75,10,723.46
2025-06-10,facebook_ads,Prospecting_Q3,7516,518,976.36,19,955.16
2025-06-10,facebook_ads,Retargeting_All,5454,378,626.26,16,741.66
2025-06-10,facebook_ads,Creative_Test_1,4127,246,234.51,4,182.22
2025-06-11,facebook_ads,Prospecting_Q3,3861,311,653.32,4,332.8
2025-06-11,facebook_ads,Retargeting_All,5496,531,831.5,24,1599.36
2025-06-11,facebook_ads,Creative_Test_1,6042,718,1408.21,14,627.36
2025-06-12,facebook_ads,Prospecting_Q3,5837,475,404.04,11,616.82
2025-06-12,facebook_ads,Retargeting_All,3627,296,414.62,17,1152.7
2025-06-12,facebook_ads,Creative_Test_1,6636,611,1438.51,10,719.45
2025-06-13,facebook_ads,Prospecting_Q3,5109,488,1065.82,10,898.87
2025-06-13,facebook_ads,Retargeting_All,5288,390,294.62,24,2461.49
2025-06-13,facebook_ads,Creative_Test_1,3394,211,257.48,2,229.91
2025-06-14,facebook_ads,Prospecting_Q3,2245,202,261.38,4,352.19
2025-06-14,facebook_ads,Retargeting_All,6254,504,752.94,38,4108.33
2025-06-14,facebook_ads,Creative_Test_1,5122,399,503.24,11,1203.89
2025-06-15,facebook_ads,Prospecting_Q3,5852,538,596.83,6,433.43
2025-06-15,facebook_ads,Retargeting_All,5804,360,429.19,27,2464.5
2025-06-15,facebook_ads,Creative_Test_1,4662,391,869.6,12,947.58
2025-06-16,facebook_ads,Prospecting_Q3,7085,645,548.04,13,934.61
2025-06-16,facebook_ads,Retargeting_All,4442,267,169.9,7,355.69
2025-06-16,facebook_ads,Creative_Test_1,5084,460,1118.56,9,584.51
2025-06-17,facebook_ads,Prospecting_Q3,667,57,40.55,1,57.28
2025-06-17,facebook_ads,Retargeting_All,7296,761,611.88,33,2533.87
2025-06-17,facebook_ads,Creative_Test_1,5223,382,942.53,6,308.28
2025-06-18,facebook_ads,Prospecting_Q3,4449,293,205.71,7,314.88
2025-06-18,facebook_ads,Retargeting_All,5240,419,891.61,22,1419.01
2025-06-18,facebook_ads,Creative_Test_1,5749,723,977.62,10,1109.28
2025-06-19,facebook_ads,Prospecting_Q3,2949,222,274.29,4,424.81
2025-06-19,facebook_ads,Retargeting_All,6317,601,313.76,25,1038.38
2025-06-19,facebook_ads,Creative_Test_1,6294,403,312.01,8,457.73
2025-06-20,facebook_ads,Prospecting_Q3,4977,455,327.36,9,687.15
2025-06-20,facebook_ads,Retargeting_All,3210,254,291.94,15,1171.22
2025-06-20,facebook_ads,Creative_Test_1,2942,140,198.65,4,445.47
2025-06-21,facebook_ads,Prospecting_Q3,6713,386,530.83,6,643.62
